tarih,home,away,home_goal_half,away_goal_half,home_goal_full,away_goal_full,home_possessions,away_possessions,home_mucadele,away_mucadele,home_havatopu,away_havatopu,home_steal,away_steal,home_ofsayt,away_ofsayt,home_corner,away_corner,home_pass,away_pass,home_accurate_pass,away_accurate_pass,home_pass_accuraty,away_pass_accuraty,home_long_pass,away_long_pass,home_accurate_long_pass,away_accurate_long_pass,home_shot,away_shot,home_accurate_shot,away_accurate_shot,home_not_accurate_shot,away_not_accurate_shot,home_engellenen_shot,away_engellenen_shot,home_direk,away_direk,home_xG,away_xG,home_ceza_sahasi,away_ceza_sahasi,home_uzaklastir,away_uzaklastir,home_faul,away_faul,home_yellow,away_yellow,home_red,away_red,1.5_alt,1.5_ust,"2,5_alt",2.5_ust,3.5_alt,3.5_ust,4.5_alt,4.5_ust,KG
5.05.2024,Galatasaray,Sivasspor,2,0,6,1,%69,%31,44,43,15,13,11,10,2,5,5,1,625,280,541,186,"%86,6","%66,4",18,7,4,3,22,9,8,3,12,4,2,2,0,0,"2,62","0,8",31,12,7,22,13,13,0,3,0,3,0,1,0,1,0,1,0,1,1
6.05.2024,Antalyaspor,Pendikspor,1,2,1,2,%59,%41,56,58,18,16,4,15,0,5,8,5,411,290,333,227,"%81,0","%78,3",18,12,6,2,15,23,7,10,6,7,2,6,1,0,"1,88","2,35",23,38,10,35,10,14,4,2,4,2,0,1,0,1,1,0,1,0,1
6.05.2024,Konyaspor,Fenerbahçe,0,0,0,0,%30,%70,39,62,18,19,6,9,1,1,2,11,256,578,157,484,"%61,3","%83,7",6,42,3,11,6,21,1,7,3,8,2,6,0,0,"0,38","2,38",7,40,45,9,16,8,4,1,4,1,1,0,1,0,1,0,1,0,0
26.04.2024,Adana Demirspor,Galatasaray,0,0,0,3,%40,%60,45,57,6,13,7,5,1,0,5,6,304,462,245,387,"%80,6","%83,8",11,19,3,9,18,25,8,9,2,7,8,9,0,1,"0,82","1,73",21,58,33,16,8,9,2,0,2,0,0,1,0,1,1,0,1,0,0
27.04.2024,Kasımpaşa,Samsunspor,1,0,1,0,%38,%62,68,69,28,22,17,7,1,2,4,8,293,475,172,358,"%58,7","%75,4",17,27,8,6,13,16,2,3,8,6,3,7,1,0,"1,31","0,83",17,20,33,21,15,17,2,3,2,3,1,0,1,0,1,0,1,0,0
27.04.2024,Sivasspor,Konyaspor,0,0,1,0,%37,%63,39,54,18,22,5,8,0,1,1,6,318,552,246,473,"%77,4","%85,7",12,18,2,6,8,8,2,2,2,3,4,3,0,1,"0,39","0,34",9,18,25,13,12,11,2,2,2,2,1,0,1,0,1,0,1,0,0
27.04.2024,Hatayspor,Başakşehir,0,1,1,2,%56,%44,52,53,18,23,3,11,1,1,6,0,446,358,359,282,"%80,5","%78,8",22,2,6,0,23,7,8,4,9,2,6,1,1,0,"1,34","0,61",25,12,5,23,12,20,1,3,1,3,0,1,0,1,1,0,1,0,1
27.04.2024,Fenerbahçe,Beşiktaş,1,0,2,1,%65,%35,63,55,15,9,10,3,4,1,4,2,506,266,448,199,"%88,5","%74,8",14,8,4,1,16,8,7,4,6,1,3,3,0,0,"0,98","0,51",39,12,15,15,14,18,1,3,1,3,0,1,0,1,1,0,1,0,1
28.04.2024,Pendikspor,Kayserispor,1,1,1,2,%61,%39,72,39,26,15,6,8,3,1,5,5,518,332,422,243,"%81,5","%73,2",31,14,10,2,20,10,4,2,8,6,8,2,0,0,"1,92","0,57",31,12,5,38,12,14,3,3,3,3,0,1,0,1,1,0,1,0,1
28.04.2024,Alanyaspor,İstanbulspor,3,0,6,0,%61,%39,44,36,5,6,7,7,1,1,4,3,627,403,567,336,"%90,4","%83,4",15,9,6,1,17,10,7,5,8,4,2,1,1,2,"2,55","1,06",35,6,6,13,12,10,1,4,1,4,0,1,0,1,0,1,0,1,0
28.04.2024,Trabzonspor,Gaziantep FK,0,2,4,2,%60,%40,42,35,12,3,4,17,2,2,4,2,584,388,510,319,"%87,3","%82,2",26,13,9,1,12,14,7,3,5,9,0,2,0,1,"2,15","0,68",23,17,14,15,12,12,2,2,2,2,0,1,0,1,0,1,0,1,1
28.04.2024,Ç. Rizespor,MKE Ankaragücü,2,0,2,2,%32,%68,54,49,13,16,9,15,1,2,2,3,260,587,182,513,"%70,0","%87,4",11,10,4,5,12,21,3,8,5,10,4,3,0,1,"0,99","1,32",17,24,17,13,12,11,3,5,3,5,0,1,0,1,0,1,1,0,1
29.04.2024,Fatih Karagümrük,Antalyaspor,1,0,4,1,%33,%67,41,33,11,3,6,8,3,0,1,4,322,652,255,572,"%79,2","%87,7",7,10,3,1,16,10,8,3,6,2,2,5,0,0,"1,72","0,45",22,12,12,8,14,10,1,1,1,1,0,1,0,1,0,1,0,1,1
19.04.2024,Beşiktaş,MKE Ankaragücü,1,0,2,0,%44,%56,49,34,13,6,11,10,0,0,8,6,372,466,315,401,"%84,7","%86,1",16,22,1,3,18,17,6,2,6,6,6,9,2,1,"0,94","1,12",27,27,21,22,12,13,2,2,2,2,0,1,1,0,1,0,1,0,0
20.04.2024,İstanbulspor,Fatih Karagümrük,0,0,1,2,%41,%59,50,55,6,16,9,12,0,2,1,7,346,480,261,403,"%75,4","%84,0",9,28,2,10,13,24,4,7,5,9,4,8,1,0,"2,26","3,24",23,43,32,14,11,15,3,3,3,3,0,1,0,1,1,0,1,0,1
20.04.2024,Konyaspor,Alanyaspor,0,1,0,2,%40,%60,43,26,13,6,6,11,2,1,2,1,418,658,340,585,"%81,3","%88,9",22,12,3,1,4,11,1,3,2,4,1,4,0,0,"0,09","1,15",16,23,12,24,6,9,2,3,2,3,0,1,1,0,1,0,1,0,0
20.04.2024,Samsunspor,Adana Demirspor,0,1,1,1,%47,%53,43,72,18,18,13,9,2,0,7,4,365,428,279,320,"%76,4","%74,8",25,12,6,1,18,10,6,3,9,4,3,3,3,0,"2,04","0,47",28,16,18,29,17,6,2,3,2,3,0,1,1,0,1,0,1,0,1
20.04.2024,Kayserispor,Trabzonspor,0,1,1,2,%55,%45,41,62,11,17,5,10,0,2,4,1,433,355,359,286,"%82,9","%80,6",20,10,6,3,17,9,3,3,7,5,7,1,0,1,"1,57","1,46",22,13,5,9,13,5,0,3,0,3,0,1,0,1,1,0,1,0,1
21.04.2024,Başakşehir,Ç. Rizespor,1,0,2,0,%50,%50,45,47,10,12,5,6,0,2,1,4,439,433,361,356,"%82,2","%82,2",6,15,1,3,12,12,4,2,7,5,1,5,1,1,"1,93","0,76",18,18,17,8,10,12,1,1,1,1,0,1,1,0,1,0,1,0,0
21.04.2024,Antalyaspor,Hatayspor,0,1,2,1,%62,%38,51,51,15,14,13,12,1,3,0,3,542,325,472,242,"%87,1","%74,5",17,13,5,2,12,12,4,6,4,4,4,2,0,0,"0,91","2,58",22,26,16,19,12,14,4,3,4,3,0,1,0,1,1,0,1,0,1
21.04.2024,Galatasaray,Pendikspor,2,0,4,1,%54,%46,42,59,16,15,4,10,2,3,4,3,427,351,351,263,"%82,2","%74,9",19,21,6,6,20,9,9,4,7,4,4,1,0,0,"2,84","0,97",39,17,16,18,15,8,1,2,1,2,0,1,0,1,0,1,0,1,1
21.04.2024,Gaziantep FK,Kasımpaşa,2,0,2,0,%30,%70,53,58,22,19,25,7,1,5,5,8,238,522,144,427,"%60,5","%81,8",6,34,4,7,12,12,5,1,7,9,0,2,2,0,"0,88","1,02",10,20,24,2,11,10,0,1,0,1,0,1,1,0,1,0,1,0,0
22.04.2024,Sivasspor,Fenerbahçe,0,1,2,2,%36,%64,36,43,7,11,6,6,1,4,3,2,362,653,278,568,"%76,8","%87,0",11,14,0,5,9,15,4,6,3,4,2,5,0,0,"1,22","1,15",12,40,31,12,6,11,4,1,4,1,0,1,0,1,0,1,1,0,1
12.04.2024,Trabzonspor,Sivasspor,0,0,0,1,%71,%29,40,45,14,15,13,16,3,0,14,5,673,270,593,203,"%88,1","%75,2",31,9,5,1,21,10,5,5,8,1,8,4,0,0,"1,33","1,26",44,10,11,43,14,11,3,3,3,3,1,0,1,0,1,0,1,0,0
13.04.2024,Kasımpaşa,Konyaspor,0,1,0,2,%57,%43,54,55,27,18,3,6,2,0,5,5,423,325,319,198,"%75,4","%60,9",26,14,2,4,7,7,1,3,2,2,4,2,0,0,"0,76","1,86",20,19,15,26,16,13,3,4,3,4,0,1,1,0,1,0,1,0,0
13.04.2024,MKE Ankaragücü,Gaziantep FK,1,1,3,1,%70,%30,49,52,16,15,1,10,3,1,5,6,626,260,545,178,"%87,1","%68,5",22,22,7,5,12,7,6,1,5,6,1,0,2,0,"1,67","0,9",28,14,18,19,12,10,1,1,1,1,0,1,0,1,0,1,1,0,1
13.04.2024,Adana Demirspor,Kayserispor,0,0,0,0,%54,%46,58,38,16,9,13,12,2,0,9,2,416,360,341,290,"%82,0","%80,6",22,9,5,3,27,13,6,4,9,8,12,1,0,0,"1,54","0,67",31,18,9,23,6,12,0,1,0,1,1,0,1,0,1,0,1,0,0
13.04.2024,Beşiktaş,Samsunspor,1,0,1,1,%52,%48,74,57,34,26,10,13,1,4,0,2,387,355,285,238,"%73,6","%67,0",13,9,5,2,17,11,4,3,8,5,5,3,1,0,"1,04","0,68",28,13,15,17,13,17,1,2,1,2,0,1,1,0,1,0,1,0,1
14.04.2024,Pendikspor,Başakşehir,1,1,2,3,%50,%50,44,38,16,17,2,7,0,4,6,4,365,377,288,304,"%78,9","%80,6",23,8,7,2,17,16,9,7,3,5,5,4,0,0,"1,55","1,89",27,28,11,23,9,12,3,1,3,1,0,1,0,1,0,1,0,1,1
14.04.2024,Hatayspor,İstanbulspor,0,0,0,3,%57,%43,49,39,11,6,4,8,3,0,4,7,513,393,440,309,"%85,8","%78,6",22,16,4,5,13,14,2,6,6,3,5,5,0,0,"2,11","3,19",26,19,15,17,17,9,2,0,2,0,0,1,0,1,1,0,1,0,0
14.04.2024,Ç. Rizespor,Antalyaspor,1,0,3,0,%33,%67,42,40,9,14,8,4,3,1,4,7,287,581,237,522,"%82,6","%89,8",12,31,1,8,15,15,4,3,10,6,1,6,0,1,"2,26","1,11",20,28,28,9,12,7,4,2,4,2,0,1,0,1,1,0,1,0,0
14.04.2024,Fatih Karagümrük,Fenerbahçe,1,0,1,2,%45,%55,42,50,13,17,10,5,3,4,3,6,379,452,291,352,"%76,8","%77,9",6,13,1,8,11,16,7,7,3,8,1,1,0,0,"0,92","2,38",12,39,15,14,11,14,4,3,4,3,0,1,0,1,1,0,1,0,1
15.04.2024,Alanyaspor,Galatasaray,0,0,0,4,%45,%55,45,43,6,12,7,6,2,3,6,6,392,483,319,409,"%81,4","%84,7",18,18,3,5,14,20,3,8,5,9,6,3,1,1,"0,73","1,75",17,36,19,21,12,14,1,0,1,0,0,1,0,1,0,1,1,0,0
2.04.2024,İstanbulspor,Ç. Rizespor,0,2,0,4,%53,%47,47,55,8,8,10,12,0,2,2,6,488,420,401,345,"%82,2","%82,1",13,20,1,5,7,24,2,11,5,6,0,7,0,1,"0,26","3,31",8,37,14,13,10,13,4,2,4,2,0,1,0,1,0,1,1,0,0
2.04.2024,Galatasaray,Hatayspor,1,0,1,0,%58,%42,40,50,12,18,5,11,0,2,8,5,440,321,360,237,"%81,8","%73,8",24,16,12,3,19,9,2,2,11,5,6,2,1,0,"1,64","0,57",34,21,15,10,17,8,2,2,2,2,1,0,1,0,1,0,1,0,0
2.04.2024,Gaziantep FK,Alanyaspor,0,2,0,3,%56,%44,30,39,7,8,4,7,2,3,7,3,527,423,459,345,"%87,1","%81,6",28,7,9,2,20,13,4,7,11,4,5,2,3,0,"1,3","2,92",28,19,9,28,10,10,0,2,0,2,0,1,0,1,1,0,1,0,0
2.04.2024,Antalyaspor,MKE Ankaragücü,1,0,1,1,%40,%60,31,45,7,10,7,9,0,5,3,9,361,539,306,488,"%84,8","%90,5",13,24,4,6,6,16,2,6,3,6,1,4,0,1,"0,48","0,68",15,32,27,8,6,12,1,1,1,1,0,1,1,0,1,0,1,0,1
3.04.2024,Sivasspor,Fatih Karagümrük,0,0,1,0,%50,%50,43,48,5,6,10,4,0,0,6,7,383,389,315,318,"%82,2","%81,7",23,21,12,2,15,18,6,5,6,7,3,6,0,1,"2,91","1,66",31,31,18,16,12,13,1,4,1,4,1,0,1,0,1,0,1,0,0
3.04.2024,Kayserispor,Kasımpaşa,0,1,0,2,%56,%44,34,47,10,15,13,15,2,2,6,4,456,361,362,256,"%79,4","%70,9",20,12,7,1,15,13,3,3,5,9,7,1,0,0,"0,86","1,43",21,19,10,16,14,5,2,2,2,2,0,1,1,0,1,0,1,0,0
3.04.2024,Fenerbahçe,Adana Demirspor,1,1,4,2,%58,%42,51,44,16,6,6,4,3,2,4,2,441,331,355,242,"%80,5","%73,1",20,5,9,1,22,13,4,6,14,1,4,6,2,0,"3,11","1,95",37,12,13,9,17,11,2,1,2,1,0,1,0,1,0,1,0,1,1
3.04.2024,Konyaspor,Trabzonspor,0,1,1,3,%60,%40,64,44,29,17,6,9,0,0,1,3,553,373,461,276,"%83,4","%74,0",29,8,5,0,20,10,5,3,9,3,6,4,1,1,"1,55","1,2",30,10,10,29,11,10,3,3,3,3,0,1,0,1,0,1,1,0,1
4.04.2024,Samsunspor,Pendikspor,0,0,0,0,%48,%52,47,64,23,29,8,16,3,0,10,9,351,368,237,255,"%67,5","%69,3",20,29,4,9,6,14,2,4,2,5,2,5,1,0,"0,44","0,8",18,28,34,29,12,7,1,2,1,2,1,0,1,0,1,0,1,0,0
4.04.2024,Başakşehir,Beşiktaş,0,1,1,1,%70,%30,57,43,18,21,10,9,1,1,9,4,558,235,496,170,"%88,9","%72,3",27,12,9,4,19,7,4,2,8,4,7,1,1,2,"0,94","1,07",21,14,5,25,14,25,3,3,3,3,0,1,1,0,1,0,1,0,1
15.03.2024,Fatih Karagümrük,Konyaspor,0,1,1,1,%58,%42,44,57,23,17,9,10,1,2,9,4,515,377,414,279,"%80,4","%74,0",32,10,5,3,14,11,6,4,5,5,3,2,0,0,"0,88","0,79",19,15,18,23,12,11,2,0,2,0,0,1,1,0,1,0,1,0,1
15.03.2024,Pendikspor,İstanbulspor,0,0,1,0,%64,%36,71,49,31,16,9,3,3,2,6,2,484,286,375,169,"%77,5","%59,1",28,6,7,0,20,3,4,1,8,1,8,1,0,0,"1,66","0,21",28,4,12,30,12,19,1,5,1,5,1,0,1,0,1,0,1,0,0
16.03.2024,Alanyaspor,Kayserispor,0,0,1,0,%50,%50,52,46,14,16,12,7,1,2,0,3,483,498,399,402,"%82,6","%80,7",18,10,6,5,8,13,3,3,5,6,0,4,0,1,"1,21","0,88",16,20,14,14,11,18,1,3,1,3,1,0,1,0,1,0,1,0,0
16.03.2024,MKE Ankaragücü,Başakşehir,0,0,2,1,%38,%62,48,54,10,19,10,8,3,0,1,2,325,522,243,423,"%74,8","%81,0",14,19,3,8,11,12,5,3,5,7,1,2,1,0,"1,61","1,66",30,20,18,19,10,10,0,2,0,2,0,1,0,1,1,0,1,0,1
16.03.2024,Adana Demirspor,Sivasspor,1,0,4,1,%67,%33,61,41,11,11,6,6,1,0,3,6,582,267,523,203,"%89,9","%76,0",11,17,4,5,14,8,7,3,5,3,2,2,0,0,"1,68","0,48",22,13,13,9,11,13,2,2,2,2,0,1,0,1,0,1,0,1,1
16.03.2024,Beşiktaş,Antalyaspor,0,2,1,2,%51,%49,62,59,19,23,16,12,2,1,8,5,389,386,305,302,"%78,4","%78,2",28,15,6,3,19,11,8,2,7,5,4,4,0,0,"2,25","1,53",44,14,12,34,12,14,2,3,2,3,0,1,0,1,1,0,1,0,1
